"(PDH-TSV 4.0) (GTB Standard Time)(-120)"	"\\DESKTOP-AS6O85B\Processor(0)\% Processor Time"	"\\DESKTOP-AS6O85B\Processor(1)\% Processor Time"	"\\DESKTOP-AS6O85B\Processor(2)\% Processor Time"	"\\DESKTOP-AS6O85B\Processor(3)\% Processor Time"
"02/16/2016 16:27:36.360"	" "	" "	" "	" "
"02/16/2016 16:27:37.363"	"18.952262733123217"	"12.71782140490193"	"18.952262733123217"	"14.276431736957251"
"02/16/2016 16:27:38.349"	"22.375944466141164"	"8.118464878289533"	"19.207615668840795"	"12.870958074240079"
"02/16/2016 16:27:39.352"	"22.072040844724118"	"3.3693306474579021"	"8.0450081967744609"	"12.720685746091009"
"02/16/2016 16:27:40.353"	"28.202605803387115"	"11.033663712892739"	"15.716102464845749"	"14.155289547528071"
"02/16/2016 16:27:41.354"	"15.748134102009914"	"7.9470354077515681"	"6.3868156688999029"	"12.627694624306574"
"02/16/2016 16:27:42.355"	"23.520358044095026"	"7.9122678490123777"	"20.398740005078498"	"7.9122678490123777"
"02/16/2016 16:27:43.357"	"26.657405317519135"	"15.73404015204326"	"20.415482365818626"	"14.173559414118131"
"02/16/2016 16:27:44.361"	"30.023492202191182"	"8.2530231095395479"	"17.583224149247389"	"8.2530231095395479"
"02/16/2016 16:27:45.363"	"37.613356531182838"	"34.494024357741978"	"36.053690444462418"	"34.494024357741978"
"02/16/2016 16:27:46.365"	"9.5340301284372213"	"4.854755824735701"	"11.093788229671064"	"3.2949977235018579"
"02/16/2016 16:27:47.350"	"14.347032021875993"	"8.0023677272001432"	"8.0023677272001432"	"12.760865948207034"
"02/16/2016 16:27:48.351"	"23.552492341020638"	"18.872032688430064"	"25.112645558550827"	"15.75172625336968"
"02/16/2016 16:27:49.353"	"20.441805932817392"	"9.5220538059491933"	"17.321876753712196"	"7.9620892163965955"
"02/16/2016 16:27:50.354"	"17.270643003781206"	"11.026917947462799"	"17.270643003781206"	"9.465986683383198"
"02/16/2016 16:27:51.356"	"12.643735996790884"	"9.5238694252476996"	"11.083802711019286"	"9.5238694252476996"
"02/16/2016 16:27:52.357"	"12.633452401456779"	"6.3929847158465396"	"9.5132185586516584"	"7.9531016372491052"
"02/16/2016 16:27:53.359"	"14.228459353995948"	"11.109494239595808"	"14.228459353995948"	"7.9905291251956552"
"02/16/2016 16:27:54.360"	"12.612642304070054"	"7.9311767132166588"	"9.4916652435011244"	"6.3706881829322048"
"02/16/2016 16:27:55.362"	"12.666178794988891"	"7.987581230434726"	"7.987581230434726"	"12.666178794988891"
"02/16/2016 16:27:56.351"	"6.7462364677725155"	"8.3268087310305994"	"3.5850919412563242"	"6.7462364677725155"
"02/16/2016 16:27:57.352"	"18.84228443836513"	"7.9172073435296753"	"14.160108540578509"	"14.160108540578509"
"02/16/2016 16:27:58.353"	"34.440755921810428"	"9.4658057967858191"	"28.197018390554273"	"21.953280859298118"
"02/16/2016 16:27:59.355"	"34.52624437549261"	"23.613951771408047"	"34.52624437549261"	"11.142760223882831"
"02/16/2016 16:28:00.357"	"22.025996657472803"	"17.347556456921176"	"29.823396991725527"	"12.66911625636954"
"02/16/2016 16:28:01.359"	"22.027459708032882"	"29.82471373722959"	"45.419221795623024"	"36.062516960586969"
"02/16/2016 16:28:02.361"	"78.155902844246256"	"67.233854266369363"	"65.673561612386948"	"79.716195498228657"
"02/16/2016 16:28:03.363"	"98.440952355104855"	"98.440952355104855"	"96.88190471020971"	"98.440952355104855"
"02/16/2016 16:28:04.349"	"93.659159855927996"	"98.414789963982003"	"92.073949819909998"	"93.659159855927996"
"02/16/2016 16:28:05.350"	"100"	"100"	"100"	"100"
"02/16/2016 16:28:06.351"	"100"	"100"	"100"	"98.439315076565961"
"02/16/2016 16:28:07.353"	"93.758693515801838"	"95.319020136851378"	"92.198366894752297"	"98.439673378950459"
"02/16/2016 16:28:08.354"	"92.196825573756797"	"96.878730229502722"	"90.636190688508165"	"89.075555803259519"
"02/16/2016 16:28:09.356"	"98.43989086724595"	"98.43989086724595"	"95.319672601737835"	"98.43989086724595"
"02/16/2016 16:28:10.358"	"98.441340536917039"	"96.882681073834078"	"98.441340536917039"	"95.324021610751103"
"02/16/2016 16:28:11.360"	"100"	"98.440609269178182"	"98.440609269178182"	"96.881218538356379"
"02/16/2016 16:28:12.362"	"87.521281207029531"	"89.081121056150835"	"92.200800754393455"	"92.200800754393455"
"02/16/2016 16:28:13.363"	"93.760634997646505"	"95.320476248234883"	"92.200793747058142"	"93.760634997646505"
"02/16/2016 16:28:14.349"	"93.660199901504868"	"90.490299852257294"	"95.245149926128647"	"93.660199901504868"
"02/16/2016 16:28:15.352"	"95.324178798614696"	"93.765571731486261"	"96.882785865743131"	"95.324178798614696"
"02/16/2016 16:28:16.354"	"93.765969715380109"	"95.324477286535085"	"93.765969715380109"	"92.207462144225133"
"02/16/2016 16:28:17.357"	"100"	"100"	"100"	"98.441011621322971"
"02/16/2016 16:28:18.361"	"90.665032076443381"	"95.332516038221698"	"93.77668805096225"	"95.332516038221698"
"02/16/2016 16:28:19.363"	"95.321818469790017"	"98.440606156596672"	"96.881212313193359"	"98.440606156596672"
"02/16/2016 16:28:20.349"	"66.719584007224768"	"77.813056004816517"	"69.889147435108129"	"77.813056004816517"
"02/16/2016 16:28:21.351"	"20.500452829420681"	"11.147564926999587"	"8.0299356261925521"	"15.824008878210138"
"02/16/2016 16:28:22.354"	"20.504172389950593"	"15.827947236418272"	"20.504172389950593"	"12.710463800730064"
